"","prediction","Folio","team_name"
"1",162624.206469052,141380013010,"Florid-API Keys"
"2",354013.722544745,141380013150,"Florid-API Keys"
"3",307937.200635034,141380013180,"Florid-API Keys"
"4",367303.98708397,141380013210,"Florid-API Keys"
"5",209600.228431093,141380013280,"Florid-API Keys"
"6",400725.199733826,141380014320,"Florid-API Keys"
"7",414869.269496575,141380014390,"Florid-API Keys"
"8",214456.810024595,141380014691,"Florid-API Keys"
"9",146218.748505854,141380014790,"Florid-API Keys"
"10",387416.567720739,141380015040,"Florid-API Keys"
"11",445537.255772232,141380015140,"Florid-API Keys"
"12",882386.623328121,141380015320,"Florid-API Keys"
"13",329887.215798332,141380080060,"Florid-API Keys"
"14",447857.066775977,141380080190,"Florid-API Keys"
"15",635436.576401096,141380080350,"Florid-API Keys"
"16",499817.754346974,141380080360,"Florid-API Keys"
"17",490453.315390521,141380080370,"Florid-API Keys"
"18",479294.095286247,141380080470,"Florid-API Keys"
"19",633612.089709808,141380080570,"Florid-API Keys"
"20",500137.659773761,141380080600,"Florid-API Keys"
"21",515168.117024554,141380080610,"Florid-API Keys"
"22",218582.425922579,141380080840,"Florid-API Keys"
"23",233692.071274296,141380080860,"Florid-API Keys"
"24",273986.148705442,141380080910,"Florid-API Keys"
"25",145193.95714735,141380081260,"Florid-API Keys"
"26",299607.200586415,141380081300,"Florid-API Keys"
"27",343855.726649046,141380081480,"Florid-API Keys"
"28",475133.71141913,141380081500,"Florid-API Keys"
"29",291977.286632378,141380081540,"Florid-API Keys"
"30",318171.498443175,141380081670,"Florid-API Keys"
"31",389265.460163126,141380081710,"Florid-API Keys"
"32",294675.205316377,141380081920,"Florid-API Keys"
"33",374651.471642238,141380082000,"Florid-API Keys"
"34",430273.30576196,141380082050,"Florid-API Keys"
"35",351934.300449577,141380082061,"Florid-API Keys"
"36",392427.018379238,141380082080,"Florid-API Keys"
"37",412227.978860937,141380082270,"Florid-API Keys"
"38",451701.461626406,141380082360,"Florid-API Keys"
"39",178799.811967277,141380082600,"Florid-API Keys"
"40",168094.238318088,141380083100,"Florid-API Keys"
"41",457005.11625101,141380090030,"Florid-API Keys"
"42",536212.717158302,141380090070,"Florid-API Keys"
"43",562643.132741758,141380090280,"Florid-API Keys"
"44",500588.150060838,141380091010,"Florid-API Keys"
"45",334556.14365323,141380091340,"Florid-API Keys"
"46",180515.842993551,141380091380,"Florid-API Keys"
"47",775934.896477491,141380091420,"Florid-API Keys"
"48",531804.459390135,141380091440,"Florid-API Keys"
"49",317535.013365012,141380100020,"Florid-API Keys"
"50",384688.40480366,141380100350,"Florid-API Keys"
"51",517791.381152055,141380100360,"Florid-API Keys"
"52",262864.094039129,141380100460,"Florid-API Keys"
"53",527262.458209923,141380100500,"Florid-API Keys"
"54",1006206.95045803,141380100600,"Florid-API Keys"
"55",197661.073562701,141380100650,"Florid-API Keys"
"56",313150.051645828,141380100680,"Florid-API Keys"
"57",240834.247167192,141380100830,"Florid-API Keys"
"58",378822.419063162,141380100970,"Florid-API Keys"
"59",201710.537894045,141380101000,"Florid-API Keys"
"60",331696.713217728,141380101030,"Florid-API Keys"
"61",238982.294587435,141380101040,"Florid-API Keys"
"62",778532.932457263,141380101240,"Florid-API Keys"
"63",282053.866119308,141380101840,"Florid-API Keys"
"64",360646.54217632,141380101970,"Florid-API Keys"
"65",426928.928300783,141390010063,"Florid-API Keys"
"66",434434.535724515,141390010290,"Florid-API Keys"
"67",360640.779726604,141390010300,"Florid-API Keys"
"68",326771.995589865,141390010410,"Florid-API Keys"
"69",397218.958380654,141390011090,"Florid-API Keys"
"70",709887.029197218,141390011844,"Florid-API Keys"
"71",454867.877880549,141390011905,"Florid-API Keys"
"72",197685.566131268,141390012080,"Florid-API Keys"
"73",324710.478121554,141390012140,"Florid-API Keys"
"74",415398.29389026,141390012180,"Florid-API Keys"
"75",337625.18036235,141390040050,"Florid-API Keys"
"76",570154.736012255,141390040060,"Florid-API Keys"
"77",456122.740645022,141390040170,"Florid-API Keys"
"78",511927.143328624,141390050030,"Florid-API Keys"
"79",403585.702317678,141390050080,"Florid-API Keys"
"80",218506.687140991,141390050700,"Florid-API Keys"
"81",465939.173382021,141390051120,"Florid-API Keys"
"82",317048.580117343,141390051720,"Florid-API Keys"
"83",539327.089801619,141390051760,"Florid-API Keys"
"84",306422.318486913,141390051990,"Florid-API Keys"
"85",626902.616114201,141390052420,"Florid-API Keys"
"86",391500.630640702,141390052500,"Florid-API Keys"
"87",161217.869625495,141390052840,"Florid-API Keys"
"88",386086.759415366,141390070570,"Florid-API Keys"
"89",228601.609010064,141390072880,"Florid-API Keys"
"90",445732.933388955,141390072890,"Florid-API Keys"
"91",619595.651947867,141390073010,"Florid-API Keys"
"92",286742.211515404,141390073090,"Florid-API Keys"
"93",490790.053327452,141390073110,"Florid-API Keys"
"94",642164.400758526,141390073570,"Florid-API Keys"
"95",686560.453867389,141390073720,"Florid-API Keys"
"96",200928.573280536,141390073790,"Florid-API Keys"
"97",362823.050324735,141390073950,"Florid-API Keys"
"98",152140.559106547,141390074010,"Florid-API Keys"
"99",325219.1958944,141390074030,"Florid-API Keys"
"100",311082.668672569,141390074240,"Florid-API Keys"
"101",852572.940720854,141390074441,"Florid-API Keys"
"102",443816.377246405,141391180010,"Florid-API Keys"
"103",343805.731248841,141391320020,"Florid-API Keys"
"104",633810.829514245,141400020010,"Florid-API Keys"
"105",354212.439596678,141400090010,"Florid-API Keys"
"106",541277.174973661,141400270020,"Florid-API Keys"
"107",284430.778548014,141400310070,"Florid-API Keys"
"108",168139.139281682,141400310080,"Florid-API Keys"
"109",154481.710526968,141400310110,"Florid-API Keys"
"110",486721.475638444,141400340010,"Florid-API Keys"
"111",353827.937775022,232020040460,"Florid-API Keys"
"112",361086.451712897,232020040540,"Florid-API Keys"
"113",450235.380737996,232030010560,"Florid-API Keys"
"114",487538.005715403,232030010570,"Florid-API Keys"
"115",604020.011717707,232030010630,"Florid-API Keys"
"116",410261.455745955,232030010650,"Florid-API Keys"
"117",310178.999719369,232030010820,"Florid-API Keys"
"118",199992.465617317,232030010870,"Florid-API Keys"
"119",258595.556991521,232030010910,"Florid-API Keys"
"120",776777.014495144,232030010940,"Florid-API Keys"
"121",202034.64066075,232030011510,"Florid-API Keys"
"122",288977.093958323,232030011660,"Florid-API Keys"
"123",381560.67099436,232030011690,"Florid-API Keys"
"124",293335.763158457,232030011930,"Florid-API Keys"
"125",372485.018847157,232030012060,"Florid-API Keys"
"126",397259.894781653,232030012070,"Florid-API Keys"
"127",248703.29278956,232030012080,"Florid-API Keys"
"128",572108.712742348,232030012520,"Florid-API Keys"
"129",443365.157451171,232030012580,"Florid-API Keys"
"130",249272.647894534,232030012820,"Florid-API Keys"
"131",192286.824436595,232030012870,"Florid-API Keys"
"132",769069.927961212,232030013090,"Florid-API Keys"
"133",316896.34941598,232030013120,"Florid-API Keys"
"134",154794.760140223,232030013140,"Florid-API Keys"
